tower/conv0 null 1 32,149,149,32 Conv
mixed_35x35x256a/branch5x5/Conv_1/BatchNorm/beta null 9 64,0,0,0 beta
mixed_35x35x256a/branch5x5/Conv_1/BatchNorm/moving_mean null 9 64,0,0,0 moving_mean
mixed_35x35x256a/branch5x5/Conv_1/BatchNorm/moving_variance null 9 64,0,0,0 moving_variance
mixed_35x35x256a/branch5x5/Conv_1/weights null 9 5,5,48,64 weights
mixed_35x35x256a/branch3x3dbl/Conv/BatchNorm/beta null 10 64,0,0,0 beta
mixed_35x35x256a/branch3x3dbl/Conv/BatchNorm/moving_mean null 10 64,0,0,0 moving_mean
mixed_35x35x256a/branch3x3dbl/Conv/BatchNorm/moving_variance null 10 64,0,0,0 moving_variance
mixed_35x35x256a/branch3x3dbl/Conv/weights null 10 1,1,192,64 weights
mixed_35x35x256a/branch3x3dbl/Conv_1/BatchNorm/beta null 11 96,0,0,0 beta
mixed_35x35x256a/branch3x3dbl/Conv_1/BatchNorm/moving_mean null 11 96,0,0,0 moving_mean 
mixed_35x35x256a/branch3x3dbl/Conv_1/BatchNorm/moving_variance null 11 96,0,0,0 moving_variance
mixed_35x35x256a/branch3x3dbl/Conv_1/weights null 11 3,3,64,96 weights
mixed_35x35x256a/branch3x3dbl/Conv_2/BatchNorm/beta null 12 96,0,0,0 beta
mixed_35x35x256a/branch3x3dbl/Conv_2/BatchNorm/moving_mean null 12 96,0,0,0 moving_mean
mixed_35x35x256a/branch3x3dbl/Conv_2/BatchNorm/moving_variance null 12 96,0,0,0 moving_variance
mixed_35x35x256a/branch3x3dbl/Conv_2/weights null 12 3,3,96,96 weights
mixed_35x35x256a/branch_pool/Conv/BatchNorm/beta null 14 32,0,0,0 beta
mixed_35x35x256a/branch_pool/Conv/BatchNorm/moving_mean null 14 32,0,0,0 moving_mean
mixed_35x35x256a/branch_pool/Conv/BatchNorm/moving_variance null 14 32,0,0,0 moving_variance
mixed_35x35x256a/branch_pool/Conv/weights null 14 1,1,192,32 weights
mixed_35x35x288a/branch1x1/Conv/BatchNorm/beta null 16 64,0,0,0 beta
mixed_35x35x288a/branch1x1/Conv/BatchNorm/moving_mean null 16 64,0,0,0 moving_mean
mixed_35x35x288a/branch1x1/Conv/BatchNorm/moving_variance null 16 64,0,0,0 moving_variance
mixed_35x35x288a/branch1x1/Conv/weights null 16 1,1,256,64 weights
mixed_35x35x288a/branch5x5/Conv/BatchNorm/beta null 17 48,0,0,0 beta
mixed_35x35x288a/branch5x5/Conv/BatchNorm/moving_mean null 17 48,0,0,0 moving_mean
mixed_35x35x288a/branch5x5/Conv/BatchNorm/moving_variance null 17 48,0,0,0 moving_variance
mixed_35x35x288a/branch5x5/Conv/weights null 17 1,1,256,48 weights
mixed_35x35x288a/branch5x5/Conv_1/BatchNorm/beta null 18 64,0,0,0 beta
mixed_35x35x288a/branch5x5/Conv_1/BatchNorm/moving_mean null 18 64,0,0,0 moving_mean
mixed_35x35x288a/branch5x5/Conv_1/BatchNorm/moving_variance null 18 64,0,0,0 moving_variance
mixed_35x35x288a/branch5x5/Conv_1/weights null 18 5,5,48,64 weights
mixed_35x35x288a/branch3x3dbl/Conv/BatchNorm/beta null 19 64,0,0,0 beta
mixed_35x35x288a/branch3x3dbl/Conv/BatchNorm/moving_mean null 19 64,0,0,0 moving_mean
mixed_35x35x288a/branch3x3dbl/Conv/BatchNorm/moving_variance null 19 64,0,0,0 moving_variance
mixed_35x35x288a/branch3x3dbl/Conv/weights null 19 1,1,256,64 weights
mixed_35x35x288a/branch3x3dbl/Conv_1/BatchNorm/beta null 20 96,0,0,0 beta
mixed_35x35x288a/branch3x3dbl/Conv_1/BatchNorm/moving_mean null 20 96,0,0,0 moving_mean
mixed_35x35x288a/branch3x3dbl/Conv_1/BatchNorm/moving_variance null 20 96,0,0,0 moving_variance
mixed_35x35x288a/branch3x3dbl/Conv_1/weights null 20 3,3,64,96 weights
mixed_35x35x288a/branch3x3dbl/Conv_2/BatchNorm/beta null 21 96,0,0,0 beta
mixed_35x35x288a/branch3x3dbl/Conv_2/BatchNorm/moving_mean null 21 96,0,0,0 moving_mean
mixed_35x35x288a/branch3x3dbl/Conv_2/BatchNorm/moving_variance null 21 96,0,0,0 moving_variance
mixed_35x35x288a/branch3x3dbl/Conv_2/weights null 21 3,3,96,96 weights
mixed_35x35x288a/branch_pool/Conv/BatchNorm/beta null 23 64,0,0,0 beta
mixed_35x35x288a/branch_pool/Conv/BatchNorm/moving_mean null 23 64,0,0,0 moving_mean
mixed_35x35x288a/branch_pool/Conv/BatchNorm/moving_variance null 23 64,0,0,0 moving_variance
mixed_35x35x288a/branch_pool/Conv/weights null 23 1,1,256,64 weights
mixed_35x35x288b/branch1x1/Conv/BatchNorm/beta null 25 64,0,0,0 beta
mixed_35x35x288b/branch1x1/Conv/BatchNorm/moving_mean null 25 64,0,0,0 moving_mean
mixed_35x35x288b/branch1x1/Conv/BatchNorm/moving_variance null 25 64,0,0,0 moving_variance
mixed_35x35x288b/branch1x1/Conv/weights null 25 1,1,288,64 weights
mixed_35x35x288b/branch5x5/Conv/BatchNorm/beta null 26 48,0,0,0 beta
mixed_35x35x288b/branch5x5/Conv/BatchNorm/moving_mean null 26 48,0,0,0 moving_mean
mixed_35x35x288b/branch5x5/Conv/BatchNorm/moving_variance null 26 48,0,0,0 moving_variance
mixed_35x35x288b/branch5x5/Conv/weights null 26 1,1,288,48 weights
mixed_35x35x288b/branch5x5/Conv_1/BatchNorm/beta null 27 64,0,0,0 beta
mixed_35x35x288b/branch5x5/Conv_1/BatchNorm/moving_mean null 27 64,0,0,0 moving_mean
mixed_35x35x288b/branch5x5/Conv_1/BatchNorm/moving_variance null 27 64,0,0,0 moving_variance
mixed_35x35x288b/branch5x5/Conv_1/weights null 27 5,5,48,64 weights
mixed_35x35x288b/branch3x3dbl/Conv/BatchNorm/beta null 28 64,0,0,0 beta
mixed_35x35x288b/branch3x3dbl/Conv/BatchNorm/moving_mean null 28 64,0,0,0 moving_mean
mixed_35x35x288b/branch3x3dbl/Conv/BatchNorm/moving_variance null 28 64,0,0,0 moving_variance
mixed_35x35x288b/branch3x3dbl/Conv/weights null 28 1,1,288,64 weights
mixed_35x35x288b/branch3x3dbl/Conv_1/BatchNorm/beta null 29 96,0,0,0 beta
mixed_35x35x288b/branch3x3dbl/Conv_1/BatchNorm/moving_mean null 29 96,0,0,0 moving_mean
mixed_35x35x288b/branch3x3dbl/Conv_1/BatchNorm/moving_variance null 29 96,0,0,0 moving_variance
mixed_35x35x288b/branch3x3dbl/Conv_1/weights null 29 3,3,64,96 weights
mixed_35x35x288b/branch3x3dbl/Conv_2/BatchNorm/beta null 30 96,0,0,0 beta
mixed_35x35x288b/branch3x3dbl/Conv_2/BatchNorm/moving_mean null 30 96,0,0,0 moving_mean
mixed_35x35x288b/branch3x3dbl/Conv_2/BatchNorm/moving_variance null 30 96,0,0,0 moving_variance
mixed_35x35x288b/branch3x3dbl/Conv_2/weights null 30 3,3,96,96 weights
mixed_35x35x288b/branch_pool/Conv/BatchNorm/beta null 32 64,0,0,0 beta
mixed_35x35x288b/branch_pool/Conv/BatchNorm/moving_mean null 32 64,0,0,0 moving_mean
mixed_35x35x288b/branch_pool/Conv/BatchNorm/moving_variance null 32 64,0,0,0 moving_variance
mixed_35x35x288b/branch_pool/Conv/weights null 32 1,1,288,64 weights
mixed_17x17x768a/branch3x3/Conv/BatchNorm/beta null 34 384,0,0,0 beta
mixed_17x17x768a/branch3x3/Conv/BatchNorm/moving_mean null 34 384,0,0,0 moving_mean
mixed_17x17x768a/branch3x3/Conv/BatchNorm/moving_variance null 34 384,0,0,0 moving_variance
mixed_17x17x768a/branch3x3/Conv/weights null 34 3,3,288,384 weights
mixed_17x17x768a/branch3x3dbl/Conv/BatchNorm/beta null 35 64,0,0,0 beta
mixed_17x17x768a/branch3x3dbl/Conv/BatchNorm/moving_mean null 35 64,0,0,0 moving_mean
mixed_17x17x768a/branch3x3dbl/Conv/BatchNorm/moving_variance null 35 64,0,0,0 moving_variance
mixed_17x17x768a/branch3x3dbl/Conv/weights null 35 1,1,288,64 weights
mixed_17x17x768a/branch3x3dbl/Conv_1/BatchNorm/beta null 36 96,0,0,0 beta
mixed_17x17x768a/branch3x3dbl/Conv_1/BatchNorm/moving_mean null 36 96,0,0,0 moving_mean
mixed_17x17x768a/branch3x3dbl/Conv_1/BatchNorm/moving_variance null 36 96,0,0,0 moving_variance
mixed_17x17x768a/branch3x3dbl/Conv_1/weights null 36 3,3,64,96 weights
mixed_17x17x768a/branch3x3dbl/Conv_2/BatchNorm/beta null 37 96,0,0,0 beta
mixed_17x17x768a/branch3x3dbl/Conv_2/BatchNorm/moving_mean null 37 96,0,0,0 moving_mean
mixed_17x17x768a/branch3x3dbl/Conv_2/BatchNorm/moving_variance null 37 96,0,0,0 moving_variance
mixed_17x17x768a/branch3x3dbl/Conv_2/weights null 37 3,3,96,96 weights
mixed_17x17x768b/branch1x1/Conv/BatchNorm/beta null 40 192,0,0,0 beta
mixed_17x17x768b/branch1x1/Conv/BatchNorm/moving_mean null 40 192,0,0,0 moving_mean
mixed_17x17x768b/branch1x1/Conv/BatchNorm/moving_variance null 40 192,0,0,0 moving_variance
mixed_17x17x768b/branch1x1/Conv/weights null 40 1,1,768,192 weights
mixed_17x17x768b/branch7x7/Conv/BatchNorm/beta null 41 128,0,0,0 beta
mixed_17x17x768b/branch7x7/Conv/BatchNorm/moving_mean null 41 128,0,0,0 moving_mean
mixed_17x17x768b/branch7x7/Conv/BatchNorm/moving_variance null 41 128,0,0,0 moving_variance
mixed_17x17x768b/branch7x7/Conv/weights null 41 1,1,768,128 weights
mixed_17x17x768b/branch7x7/Conv_1/BatchNorm/beta null 42 128,0,0,0 beta
mixed_17x17x768b/branch7x7/Conv_1/BatchNorm/moving_mean null 42 128,0,0,0 moving_mean
mixed_17x17x768b/branch7x7/Conv_1/BatchNorm/moving_variance null 42 128,0,0,0 moving_variance
mixed_17x17x768b/branch7x7/Conv_1/weights null 42 1,7,128,128 weights
mixed_17x17x768b/branch7x7/Conv_2/BatchNorm/beta null 43 192,0,0,0 beta
mixed_17x17x768b/branch7x7/Conv_2/BatchNorm/moving_mean null 43 192,0,0,0 moving_mean
mixed_17x17x768b/branch7x7/Conv_2/BatchNorm/moving_variance null 43 192,0,0,0 moving_variance
mixed_17x17x768b/branch7x7/Conv_2/weights null 43 7,1,128,192 weights
mixed_17x17x768b/branch7x7dbl/Conv/BatchNorm/beta null 44 128,0,0,0 beta
mixed_17x17x768b/branch7x7dbl/Conv/BatchNorm/moving_mean null 44 128,0,0,0 moving_mean
mixed_17x17x768b/branch7x7dbl/Conv/BatchNorm/moving_variance null 44 128,0,0,0 moving_variance
mixed_17x17x768b/branch7x7dbl/Conv/weights null 44 1,1,768,128 weights
mixed_17x17x768b/branch7x7dbl/Conv_1/BatchNorm/beta null 45 128,0,0,0 beta
mixed_17x17x768b/branch7x7dbl/Conv_1/BatchNorm/moving_mean null 45 128,0,0,0 moving_mean
mixed_17x17x768b/branch7x7dbl/Conv_1/BatchNorm/moving_variance null 45 128,0,0,0 moving_variance
mixed_17x17x768b/branch7x7dbl/Conv_1/weights null 45 7,1,128,128 weights
mixed_17x17x768b/branch7x7dbl/Conv_2/BatchNorm/beta null 46 128,0,0,0 beta
mixed_17x17x768b/branch7x7dbl/Conv_2/BatchNorm/moving_mean null 46 128,0,0,0 moving_mean
mixed_17x17x768b/branch7x7dbl/Conv_2/BatchNorm/moving_variance null 46 128,0,0,0 moving_variance
mixed_17x17x768b/branch7x7dbl/Conv_2/weights null 46 1,7,128,128 weights
mixed_17x17x768b/branch7x7dbl/Conv_3/BatchNorm/beta null 47 128,0,0,0 beta
mixed_17x17x768b/branch7x7dbl/Conv_3/BatchNorm/moving_mean null 47 128,0,0,0 moving_mean
mixed_17x17x768b/branch7x7dbl/Conv_3/BatchNorm/moving_variance null 47 128,0,0,0 moving_variance
mixed_17x17x768b/branch7x7dbl/Conv_3/weights null 47 7,1,128,128 weights
mixed_17x17x768b/branch7x7dbl/Conv_4/BatchNorm/beta null 48 192,0,0,0 beta
mixed_17x17x768b/branch7x7dbl/Conv_4/BatchNorm/moving_mean null 48 192,0,0,0 moving_mean
mixed_17x17x768b/branch7x7dbl/Conv_4/BatchNorm/moving_variance null 48 192,0,0,0 moving_variance
mixed_17x17x768b/branch7x7dbl/Conv_4/weights null 48 1,7,128,192 weights
mixed_17x17x768b/branch_pool/Conv/BatchNorm/beta null 50 192,0,0,0 beta
mixed_17x17x768b/branch_pool/Conv/BatchNorm/moving_mean null 50 192,0,0,0 moving_mean
mixed_17x17x768b/branch_pool/Conv/BatchNorm/moving_variance null 50 192,0,0,0 moving_variance
mixed_17x17x768b/branch_pool/Conv/weights null 50 1,1,768,192 weights
mixed_17x17x768c/branch1x1/Conv/BatchNorm/beta null 52 192,0,0,0 beta
mixed_17x17x768c/branch1x1/Conv/BatchNorm/moving_mean null 52 192,0,0,0 moving_mean
mixed_17x17x768c/branch1x1/Conv/BatchNorm/moving_variance null 52 192,0,0,0 moving_variance
mixed_17x17x768c/branch1x1/Conv/weights null 52 1,1,768,192 weights
mixed_17x17x768c/branch7x7/Conv/BatchNorm/beta null 53 160,0,0,0 beta
mixed_17x17x768c/branch7x7/Conv/BatchNorm/moving_mean null 53 160,0,0,0 moving_mean
mixed_17x17x768c/branch7x7/Conv/BatchNorm/moving_variance null 53 160,0,0,0 moving_variance
mixed_17x17x768c/branch7x7/Conv/weights null 53 1,1,768,160 weights
mixed_17x17x768c/branch7x7/Conv_1/BatchNorm/beta null 54 160,0,0,0 beta
mixed_17x17x768c/branch7x7/Conv_1/BatchNorm/moving_mean null 54 160,0,0,0 moving_mean
mixed_17x17x768c/branch7x7/Conv_1/BatchNorm/moving_variance null 54 160,0,0,0 moving_variance
mixed_17x17x768c/branch7x7/Conv_1/weights null 54 1,7,160,160 weights
mixed_17x17x768c/branch7x7/Conv_2/BatchNorm/beta null 55 192,0,0,0 beta
mixed_17x17x768c/branch7x7/Conv_2/BatchNorm/moving_mean null 55 192,0,0,0 moving_mean
mixed_17x17x768c/branch7x7/Conv_2/BatchNorm/moving_variance null 55 192,0,0,0 moving_variance
mixed_17x17x768c/branch7x7/Conv_2/weights null 55 7,1,160,192 weights
mixed_17x17x768c/branch7x7dbl/Conv/BatchNorm/beta null 56 160,0,0,0 beta
mixed_17x17x768c/branch7x7dbl/Conv/BatchNorm/moving_mean null 56 160,0,0,0 moving_mean
mixed_17x17x768c/branch7x7dbl/Conv/BatchNorm/moving_variance null 56 160,0,0,0 moving_variance
mixed_17x17x768c/branch7x7dbl/Conv/weights null 56 1,1,768,160 weights
mixed_17x17x768c/branch7x7dbl/Conv_1/BatchNorm/beta null 57 160,0,0,0 beta
mixed_17x17x768c/branch7x7dbl/Conv_1/BatchNorm/moving_mean null 57 160,0,0,0 moving_mean
mixed_17x17x768c/branch7x7dbl/Conv_1/BatchNorm/moving_variance null 57 160,0,0,0 moving_variance
mixed_17x17x768c/branch7x7dbl/Conv_1/weights null 57 7,1,160,160 weights
mixed_17x17x768c/branch7x7dbl/Conv_2/BatchNorm/beta null 58 160,0,0,0 beta
mixed_17x17x768c/branch7x7dbl/Conv_2/BatchNorm/moving_mean null 58 160,0,0,0 moving_mean
mixed_17x17x768c/branch7x7dbl/Conv_2/BatchNorm/moving_variance null 58 160,0,0,0 moving_variance
mixed_17x17x768c/branch7x7dbl/Conv_2/weights null 58 1,7,160,160 weights
mixed_17x17x768c/branch7x7dbl/Conv_3/BatchNorm/beta null 59 160,0,0,0 beta
mixed_17x17x768c/branch7x7dbl/Conv_3/BatchNorm/moving_mean null 59 160,0,0,0 moving_mean
mixed_17x17x768c/branch7x7dbl/Conv_3/BatchNorm/moving_variance null 59 160,0,0,0 moving_variance
mixed_17x17x768c/branch7x7dbl/Conv_3/weights null 59 160,0,0,0 weights
mixed_17x17x768c/branch7x7dbl/Conv_4/BatchNorm/beta null 60 192,0,0,0 beta
mixed_17x17x768c/branch7x7dbl/Conv_4/BatchNorm/moving_mean null 60 192,0,0,0 moving_mean
mixed_17x17x768c/branch7x7dbl/Conv_4/BatchNorm/moving_variance null 60 192,0,0,0 moving_variance
mixed_17x17x768c/branch7x7dbl/Conv_4/weights null 60 1,7,160,192 weights
mixed_17x17x768c/branch_pool/Conv/BatchNorm/beta null 62 192,0,0,0 beta
mixed_17x17x768c/branch_pool/Conv/BatchNorm/moving_mean null 62 192,0,0,0 moving_mean
mixed_17x17x768c/branch_pool/Conv/BatchNorm/moving_variance null 62 192,0,0,0 moving_variance
mixed_17x17x768c/branch_pool/Conv/weights null 62 1,1,768,192 weights
mixed_17x17x768d/branch1x1/Conv/BatchNorm/beta null 64 192,0,0,0 beta
